      Date & Time,  Trans,  Elap Time,  Data Trans,  Resp Time,  Trans Rate,  Throughput,  Concurrent,    OKAY,   Failed
2026-05-07 16:18:36,      0,       0.00,           0,       -nan,        -nan,        -nan,        -nan,       0,       1
2026-05-07 16:43:20,      0,       0.00,           0,       -nan,        -nan,        -nan,        -nan,       0,       1
2026-05-07 16:45:15,      0,       0.05,           0,       -nan,        0.00,        0.00,        0.00,       0,    1048
**** siege aborted due to excessive socket failure. ****
2026-05-07 16:46:50,     25,      11.81,           0,       0.00,        2.12,        0.00,        0.00,      25,      25
2026-06-04 17:38:36,     25,      12.88,           0,       0.00,        1.94,        0.00,        0.00,      25,      25
2026-06-04 17:38:56,     25,       2.16,           0,       0.01,       11.57,        0.00,        0.11,      25,      25
2026-06-04 17:44:41,    120,      12.26,           0,       0.01,        9.79,        0.00,        0.09,     120,     120
2026-06-04 17:48:24,    120,     186.75,           0,       0.01,        0.64,        0.00,        0.00,     120,     120
2026-06-04 17:49:30,    120,      63.65,           0,       0.01,        1.89,        0.00,        0.02,     120,     120
2026-06-04 17:50:09,    120,      36.93,           0,       0.01,        3.25,        0.00,        0.02,     120,     120
2026-06-04 17:50:10,    360,     298.08,           0,      80.09,        1.21,        0.00,       96.72,     360,     360
2026-06-04 17:50:12,    360,     303.69,           0,      80.06,        1.19,        0.00,       94.90,     360,     360
2026-06-04 17:50:15,    360,     292.39,           0,      80.10,        1.23,        0.00,       98.62,     360,     360
2026-06-04 17:51:34,    120,      63.60,           0,       0.01,        1.89,        0.00,        0.02,     120,     120
2026-06-04 17:51:43,    120,       8.26,           0,       0.01,       14.53,        0.00,        0.11,     120,     120
2026-06-04 17:53:23,    120,     170.58,           0,       0.01,        0.70,        0.00,        0.01,     120,     120
2026-06-04 17:54:59,    255,      82.42,           0,       0.02,        3.09,        0.00,        0.05,     255,     255
2026-06-04 17:55:06,      0,       0.01,           0,       -nan,        0.00,        0.00,        0.00,       0,       0
2026-06-04 17:55:07,      0,       0.00,           0,       -nan,        -nan,        -nan,        -nan,       0,       0
2026-06-04 17:55:13,      0,       0.00,           0,       -nan,        -nan,        -nan,        -nan,       0,       0
2026-06-04 17:55:21,      0,       0.00,           0,       -nan,        -nan,        -nan,        -nan,       0,       0
2026-06-04 17:55:56,    120,      27.55,           0,       0.01,        4.36,        0.00,        0.05,     120,     120
2026-06-04 17:56:22,    360,     354.32,           0,      80.04,        1.02,        0.00,       81.32,     360,     360
2026-06-04 17:56:26,    360,     351.91,           0,      80.05,        1.02,        0.00,       81.89,     360,     360
2026-06-04 17:57:01,  36404,      34.73,        2250,       0.11,     1048.20,       64.79,      117.57,   36404,       0
2026-06-04 17:57:03,  42963,      39.49,        2655,       0.11,     1087.95,       67.23,      118.23,   42963,       0
2026-06-04 17:57:05, 118325,      67.37,        7313,       0.07,     1756.35,      108.55,      118.95,  118325,       0
2026-06-04 17:57:06,  68404,      50.85,        4231,       0.09,     1345.21,       83.21,      118.45,   68404,       0
